imageName X Y Z Omega Phi Kappa
DJI_0068.JPG 755502.104415 3279272.819804 41.707583 -2.419077 1.343535 62.339690
DJI_0069.JPG 755500.879548 3279274.226790 41.849356 -2.019814 1.156956 62.880166
DJI_0070.JPG 755499.493495 3279275.538641 42.178078 -1.838538 1.513334 62.315638
DJI_0071.JPG 755498.225099 3279276.904675 42.286640 -2.221684 1.554697 61.940647
DJI_0072.JPG 755495.359655 3279279.974872 42.119706 -2.454457 1.251403 61.863154
DJI_0073.JPG 755494.000617 3279281.351465 42.151260 -2.409438 1.621577 60.721463
DJI_0074.JPG 755492.553160 3279282.766241 42.038469 -3.119668 1.581634 61.843657
DJI_0075.JPG 755491.313283 3279284.049196 41.966520 -3.062665 1.259863 64.141066
DJI_0076.JPG 755490.034232 3279285.487789 41.679014 -3.235739 1.620541 63.294308
DJI_0077.JPG 755488.644498 3279286.825677 41.661259 -3.005887 1.912031 62.204301
DJI_0078.JPG 755487.328584 3279288.069811 41.775721 -3.227687 1.951197 62.772474
DJI_0079.JPG 755485.912409 3279289.360754 41.933271 -3.085376 1.875232 62.296721
DJI_0080.JPG 755484.576690 3279290.776110 41.864521 -3.126680 2.003784 62.351323
DJI_0081.JPG 755483.306763 3279292.128168 42.055046 -3.064194 2.182798 62.176233
DJI_0082.JPG 755481.986189 3279293.589853 42.096470 -2.942183 1.775072 62.282306
DJI_0083.JPG 755480.655349 3279294.935770 42.258485 -2.449736 2.859936 62.116075
DJI_0084.JPG 755479.233530 3279296.285593 42.626135 -2.209313 2.462474 62.867830
DJI_0085.JPG 755477.203756 3279294.809922 42.843786 -1.107658 2.724313 -109.553917
DJI_0086.JPG 755478.192117 3279293.295439 43.194179 0.446154 1.508570 -146.717283
DJI_0087.JPG 755479.515928 3279291.939017 43.288896 0.564912 -0.058739 -146.774212
DJI_0088.JPG 755480.860369 3279290.486865 43.437409 0.929296 -1.220698 -146.730892
DJI_0089.JPG 755482.166713 3279289.104236 43.541016 0.736381 -0.836101 -147.207001
DJI_0090.JPG 755483.532020 3279287.749230 43.494275 1.118412 -2.277468 -147.209495
DJI_0091.JPG 755484.838441 3279286.177082 43.573275 0.772255 -2.842868 -147.803074
DJI_0092.JPG 755486.192436 3279285.002409 43.449732 0.895958 -2.658476 -148.010829
DJI_0093.JPG 755487.585537 3279283.728857 43.493199 0.959723 -2.523292 -148.847593
DJI_0094.JPG 755488.866418 3279282.277872 43.504683 0.451183 -2.662107 -148.974823
DJI_0095.JPG 755490.155542 3279280.806532 43.573401 0.459227 -3.306244 -148.913215
DJI_0096.JPG 755491.429996 3279279.525074 43.468118 0.286112 -2.674160 -149.770085
DJI_0097.JPG 755492.754506 3279278.114202 43.483843 0.237119 -2.789120 -148.913806
DJI_0098.JPG 755494.073572 3279276.719031 43.440205 0.369048 -2.877195 -149.595854
DJI_0099.JPG 755495.321212 3279275.317385 43.353884 0.280689 -3.045647 -149.491211
DJI_0100.JPG 755496.644496 3279273.825193 43.534841 0.762784 -3.250219 -149.388368
DJI_0101.JPG 755498.019184 3279272.421186 43.721103 0.411118 -3.715822 -148.980640
DJI_0102.JPG 755500.793860 3279269.805561 43.941429 0.656772 -3.021161 -149.445770
DJI_0103.JPG 755503.589632 3279267.045356 43.901320 0.601108 -3.428669 -149.932062
DJI_0104.JPG 755504.814630 3279265.659378 43.832013 -0.010988 -3.404875 -149.967266
DJI_0105.JPG 755506.145331 3279264.234101 43.696965 -0.168759 -3.233834 -149.997649
DJI_0106.JPG 755507.581886 3279262.739520 43.598657 0.149877 -2.642500 -150.490595
DJI_0107.JPG 755508.990437 3279261.322446 43.415621 0.051715 -2.017930 -150.314438
DJI_0108.JPG 755510.276861 3279259.986596 43.225901 0.148517 -2.601362 -150.879443
DJI_0109.JPG 755511.605287 3279258.512077 43.291719 -0.134579 -2.318151 -150.076299
DJI_0110.JPG 755512.986069 3279257.167464 43.347943 0.189417 -2.057083 -150.440235
