x,y,z,sx,sy,sz
755498.72,3279275.14,32.66,0.0056,0.0052,0.0136
755502.16,3279277.34,32.82,0.0053,0.0054,0.0138
755499.16,3279275.46,32.68,0.0056,0.0052,0.0134
755498.47,3279274.46,32.68,0.0061,0.0057,0.0145
755498.58,3279277.94,32.70,0.0067,0.0063,0.0181
755504.91,3279279.04,33.05,0.0072,0.0064,0.0171
755503.26,3279285.52,33.05,0.0209,0.0337,0.0582
755505.58,3279279.78,33.04,0.0507,0.0107,0.0854
755505.31,3279278.51,33.06,0.0057,0.0057,0.0135
755500.40,3279281.81,32.98,0.0069,0.0099,0.0274
755505.35,3279279.06,33.04,0.0083,0.0072,0.0194
755501.28,3279285.09,32.99,0.0134,0.0377,0.0703
755498.63,3279274.78,32.65,0.0065,0.0059,0.0154
755499.05,3279275.07,32.68,0.0061,0.0054,0.0141
755505.56,3279280.78,33.10,0.0062,0.0065,0.0151
755498.16,3279274.70,32.68,0.0053,0.0051,0.0132
755507.16,3279279.58,33.23,0.0231,0.0068,0.0313
755498.17,3279274.14,32.66,0.0053,0.0051,0.0128
755498.01,3279274.07,32.65,0.0077,0.0072,0.0174
755497.09,3279273.58,32.65,0.0055,0.0052,0.0133
755500.90,3279275.88,32.76,0.0057,0.0062,0.0156
755499.06,3279274.79,32.67,0.0052,0.0049,0.0124
755500.22,3279275.54,32.74,0.0050,0.0049,0.0118
755502.51,3279276.99,32.82,0.0052,0.0053,0.0132
755499.93,3279275.58,32.74,0.0050,0.0049,0.0117
755501.01,3279276.56,32.77,0.0053,0.0056,0.0150
755500.12,3279276.31,32.74,0.0055,0.0054,0.0137
755496.86,3279274.33,32.54,0.0072,0.0099,0.0203
755504.45,3279279.49,33.05,0.0071,0.0062,0.0171
755501.52,3279277.71,32.81,0.0060,0.0064,0.0207
755506.22,3279280.64,33.05,0.0067,0.0067,0.0159
755498.35,3279276.13,32.72,0.0053,0.0050,0.0123
755507.29,3279281.80,33.16,0.0105,0.0081,0.0198
755505.11,3279280.74,33.03,0.0099,0.0082,0.0225
755495.42,3279275.17,32.57,0.0113,0.0128,0.0270
755500.61,3279278.82,32.79,0.0054,0.0055,0.0134
755495.10,3279276.60,32.64,0.0154,0.0127,0.0345
755504.07,3279281.99,33.05,0.0080,0.0080,0.0196
755506.26,3279283.56,33.23,0.0078,0.0089,0.0184
755501.61,3279280.95,32.97,0.0059,0.0066,0.0158
755505.74,3279283.71,33.18,0.0398,0.0267,0.0653
755495.22,3279277.71,32.64,0.0121,0.0056,0.0221
755505.69,3279283.97,33.17,0.0116,0.0140,0.0264
755505.39,3279284.47,33.18,0.0112,0.0137,0.0255
755495.03,3279278.76,32.70,0.0123,0.0061,0.0238
755500.56,3279282.08,33.00,0.0064,0.0087,0.0222
755504.09,3279284.63,33.08,0.0186,0.0211,0.0428
755504.73,3279285.92,33.13,0.0530,0.0648,0.1038
755503.86,3279285.88,33.19,0.0275,0.0387,0.0634
755505.20,3279277.29,32.97,0.0092,0.0083,0.0256
755498.48,3279272.13,32.64,0.0062,0.0066,0.0156
755502.90,3279275.66,32.81,0.0079,0.0099,0.0361
755499.43,3279272.74,32.64,0.0060,0.0060,0.0144
755498.23,3279274.01,32.66,0.0074,0.0061,0.0167
