DJI_0001.JPG
FC6310_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
-0.304209, 0.264778, 1, -0.0824368, 0.101751, -0.146061, 0.134816, -0.0272581, -0.0652748, 0.159012, -0.294158, 0.0382268, 0.0458335, 0.0127394
0.205054, -0.143831, -0.0824368, 1, -0.927418, 0.846166, -0.0259827, -0.0333341, -0.0012083, 0.0626352, 0.20772, -0.0797862, 0.0234505, -0.00595996
-0.323996, 0.243727, 0.101751, -0.927418, 1, -0.972333, 0.0141479, -0.00700086, 0.0556633, 0.00626614, -0.316995, 0.0321043, 0.0734322, -0.00121048
0.472636, -0.354886, -0.146061, 0.846166, -0.972333, 1, -0.0164753, 0.0164986, -0.0910305, -0.0136847, 0.462403, -0.0445958, -0.115762, -0.00409103
-0.0234324, 0.0280359, 0.134816, -0.0259827, 0.0141479, -0.0164753, 1, -0.00442382, 0.00157285, 0.0104647, -0.0210448, 0.0569514, -0.0156976, -0.022756
0.035903, 0.0792738, -0.0272581, -0.0333341, -0.00700086, 0.0164986, -0.00442382, 1, 0.00351503, -0.0499299, 0.0281988, 0.0291113, 0.00519792, 0.0805843
-0.185829, 0.0102849, -0.0652748, -0.0012083, 0.0556633, -0.0910305, 0.00157285, 0.00351503, 1, 0.178382, -0.179388, 0.306356, 0.749214, 0.275866
-0.00846968, -0.0724816, 0.159012, 0.0626352, 0.00626614, -0.0136847, 0.0104647, -0.0499299, 0.178382, 1, -0.0804556, -0.698354, 0.601628, -0.23748
0.972133, -0.711441, -0.294158, 0.20772, -0.316995, 0.462403, -0.0210448, 0.0281988, -0.179388, -0.0804556, 1, -0.00276106, -0.253875, 0.0205498
-0.106941, 0.0761685, 0.0382268, -0.0797862, 0.0321043, -0.0445958, 0.0569514, 0.0291113, 0.306356, -0.698354, -0.00276106, 1, -0.15473, 0.288005
-0.214668, 0.15276, 0.0458335, 0.0234505, 0.0734322, -0.115762, -0.0156976, 0.00519792, 0.749214, 0.601628, -0.253875, -0.15473, 1, -0.0714813
-0.0194654, 0.0406776, 0.0127394, -0.00595996, -0.00121048, -0.00409103, -0.022756, 0.0805843, 0.275866, -0.23748, 0.0205498, 0.288005, -0.0714813, 1
DJI_0006.JPG
FC6310_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.73051, -0.304209, 0.205054, -0.323996, 0.472636, -0.0234324, 0.035903, -0.246865, 0.00131038, 0.974307, -0.143535, -0.240485, -0.0259807
-0.73051, 1, 0.264778, -0.143831, 0.243727, -0.354886, 0.0280359, 0.0792738, 0.052045, -0.0826734, -0.713234, 0.103596, 0.171967, 0.047862
-0.304209, 0.264778, 1, -0.0824368, 0.101751, -0.146061, 0.134816, -0.0272581, -0.0468538, 0.16216, -0.294968, 0.0490358, 0.0540692, 0.0109741
0.205054, -0.143831, -0.0824368, 1, -0.927418, 0.846166, -0.0259827, -0.0333341, -0.00998696, 0.0624592, 0.209147, -0.0850495, 0.0189636, -0.00945051
-0.323996, 0.243727, 0.101751, -0.927418, 1, -0.972333, 0.0141479, -0.00700086, 0.076357, 0.00389655, -0.317529, 0.0436783, 0.0825886, 0.00126072
0.472636, -0.354886, -0.146061, 0.846166, -0.972333, 1, -0.0164753, 0.0164986, -0.120866, -0.00961486, 0.463272, -0.061786, -0.128659, -0.00708743
-0.0234324, 0.0280359, 0.134816, -0.0259827, 0.0141479, -0.0164753, 1, -0.00442382, 0.00483141, 0.00958893, -0.0215938, 0.0615028, -0.0160952, -0.0185898
0.035903, 0.0792738, -0.0272581, -0.0333341, -0.00700086, 0.0164986, -0.00442382, 1, -0.00451063, -0.052246, 0.0274721, 0.0277045, 0.00294773, 0.0725645
-0.246865, 0.052045, -0.0468538, -0.00998696, 0.076357, -0.120866, 0.00483141, -0.00451063, 1, 0.226456, -0.253312, 0.262362, 0.765443, 0.253631
0.00131038, -0.0826734, 0.16216, 0.0624592, 0.00389655, -0.00961486, 0.00958893, -0.052246, 0.226456, 1, -0.060098, -0.694511, 0.61902, -0.293802
0.974307, -0.713234, -0.294968, 0.209147, -0.317529, 0.463272, -0.0215938, 0.0274721, -0.253312, -0.060098, 1, -0.0580927, -0.28219, 0.00792132
-0.143535, 0.103596, 0.0490358, -0.0850495, 0.0436783, -0.061786, 0.0615028, 0.0277045, 0.262362, -0.694511, -0.0580927, 1, -0.177948, 0.320803
-0.240485, 0.171967, 0.0540692, 0.0189636, 0.0825886, -0.128659, -0.0160952, 0.00294773, 0.765443, 0.61902, -0.28219, -0.177948, 1, -0.0846959
-0.0259807, 0.047862, 0.0109741, -0.00945051, 0.00126072, -0.00708743, -0.0185898, 0.0725645, 0.253631, -0.293802, 0.00792132, 0.320803, -0.0846959, 1
DJI_0007.JPG
FC6310_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.73051, -0.304209, 0.205054, -0.323996, 0.472636, -0.0234324, 0.035903, -0.251527, -0.00777107, 0.975172, -0.14171, -0.24339, -0.0286457
-0.73051, 1, 0.264778, -0.143831, 0.243727, -0.354886, 0.0280359, 0.0792738, 0.0550884, -0.0762359, -0.713763, 0.102927, 0.174332, 0.0497799
-0.304209, 0.264778, 1, -0.0824368, 0.101751, -0.146061, 0.134816, -0.0272581, -0.0442365, 0.162619, -0.295092, 0.0492462, 0.0549174, 0.00856576
0.205054, -0.143831, -0.0824368, 1, -0.927418, 0.846166, -0.0259827, -0.0333341, -0.00957465, 0.0564186, 0.210198, -0.0798208, 0.017209, -0.0116297
-0.323996, 0.243727, 0.101751, -0.927418, 1, -0.972333, 0.0141479, -0.00700086, 0.079849, 0.00730887, -0.317736, 0.0438179, 0.0851018, 0.0029625
0.472636, -0.354886, -0.146061, 0.846166, -0.972333, 1, -0.0164753, 0.0164986, -0.124892, -0.0139927, 0.463638, -0.0619086, -0.131316, -0.00876552
-0.0234324, 0.0280359, 0.134816, -0.0259827, 0.0141479, -0.0164753, 1, -0.00442382, 0.0072767, 0.0113595, -0.0219827, 0.0596051, -0.015129, -0.0130055
0.035903, 0.0792738, -0.0272581, -0.0333341, -0.00700086, 0.0164986, -0.00442382, 1, -0.00948761, -0.0500732, 0.026767, 0.0222477, 0.00268397, 0.0619494
-0.251527, 0.0550884, -0.0442365, -0.00957465, 0.079849, -0.124892, 0.0072767, -0.00948761, 1, 0.251584, -0.265589, 0.23385, 0.771876, 0.248566
-0.00777107, -0.0762359, 0.162619, 0.0564186, 0.00730887, -0.0139927, 0.0113595, -0.0500732, 0.251584, 1, -0.0615642, -0.701518, 0.633071, -0.323357
0.975172, -0.713763, -0.295092, 0.210198, -0.317736, 0.463638, -0.0219827, 0.026767, -0.265589, -0.0615642, 1, -0.069571, -0.285815, -0.00118154
-0.14171, 0.102927, 0.0492462, -0.0798208, 0.0438179, -0.0619086, 0.0596051, 0.0222477, 0.23385, -0.701518, -0.069571, 1, -0.199435, 0.337615
-0.24339, 0.174332, 0.0549174, 0.017209, 0.0851018, -0.131316, -0.015129, 0.00268397, 0.771876, 0.633071, -0.285815, -0.199435, 1, -0.0774222
-0.0286457, 0.0497799, 0.00856576, -0.0116297, 0.0029625, -0.00876552, -0.0130055, 0.0619494, 0.248566, -0.323357, -0.00118154, 0.337615, -0.0774222, 1
