imageName, cameraIndex, cameraName, X_opt, Y_opt, Z_opt, X_gps, Y_gps, Z_gps, X_acc, Y_acc, Z_acc, Omega, Phi, Kappa, X_uncertainty, Y_uncertainty, Z_uncertainty, Omega_uncertainty, Phi_uncertainty, Kappa_uncertainty, inlierProb
DJI_0054.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755521.905290, 3279252.009266, 41.718108, 755519.800848, 3279253.569168, 60.231000, 5.000000, 5.000000, 10.000000, -1.061699, 1.912707, 63.307847, 0.009242, 0.008412, 0.043950, 0.052651, 0.041966, 0.013740, 1.000000
DJI_0055.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755519.113861, 3279254.823116, 41.833310, 755516.901197, 3279256.294604, 60.131000, 5.000000, 5.000000, 10.000000, -1.623420, 1.949787, 62.305427, 0.009283, 0.008363, 0.044527, 0.053211, 0.037894, 0.013500, 1.000000
DJI_0056.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755517.980725, 3279256.230801, 41.741467, 755515.947742, 3279257.613168, 60.131000, 5.000000, 5.000000, 10.000000, -1.828281, 1.978666, 61.987784, 0.009337, 0.008251, 0.044080, 0.054659, 0.036771, 0.013484, 1.000000
DJI_0057.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755516.509837, 3279257.488428, 41.874607, 755514.477207, 3279258.821359, 60.131000, 5.000000, 5.000000, 10.000000, -2.150197, 1.849096, 61.299976, 0.009186, 0.008344, 0.044747, 0.054527, 0.034710, 0.012443, 1.000000
DJI_0058.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755515.186162, 3279258.965769, 41.954608, 755512.932415, 3279260.453052, 60.131000, 5.000000, 5.000000, 10.000000, -1.768765, 1.618256, 62.565048, 0.009100, 0.008266, 0.045213, 0.053695, 0.033388, 0.012148, 1.000000
DJI_0059.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755514.217503, 3279260.246398, 41.926681, 755511.838478, 3279261.793066, 60.131000, 5.000000, 5.000000, 10.000000, -2.103075, 1.506518, 62.658279, 0.009023, 0.008355, 0.045097, 0.053571, 0.033298, 0.012194, 1.000000
DJI_0060.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755512.880259, 3279261.640960, 41.796437, 755510.502395, 3279263.244646, 60.131000, 5.000000, 5.000000, 10.000000, -1.788908, 1.789134, 62.312282, 0.009006, 0.008187, 0.044528, 0.054075, 0.032636, 0.012305, 1.000000
DJI_0061.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755511.579651, 3279263.046009, 41.984721, 755508.931862, 3279264.706292, 60.231000, 5.000000, 5.000000, 10.000000, -1.761736, 1.690644, 62.699963, 0.009194, 0.008411, 0.045496, 0.053544, 0.032448, 0.012398, 1.000000
DJI_0062.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755510.154354, 3279264.384903, 41.880738, 755507.771542, 3279265.887658, 60.131000, 5.000000, 5.000000, 10.000000, -2.056254, 0.869336, 62.286048, 0.009271, 0.008523, 0.045095, 0.052670, 0.034644, 0.012769, 1.000000
DJI_0063.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755508.787069, 3279265.792077, 41.677991, 755506.350082, 3279267.423565, 60.131000, 5.000000, 5.000000, 10.000000, -2.017166, 0.828542, 62.427118, 0.009254, 0.008482, 0.044177, 0.052565, 0.035334, 0.013168, 1.000000
DJI_0064.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755507.456773, 3279267.216867, 41.645245, 755504.934048, 3279268.839433, 60.131000, 5.000000, 5.000000, 10.000000, -2.236846, 1.033235, 62.537537, 0.009345, 0.008723, 0.044033, 0.052611, 0.035999, 0.013519, 1.000000
DJI_0065.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755506.201104, 3279268.678575, 41.519447, 755503.820971, 3279270.074253, 60.031000, 5.000000, 5.000000, 10.000000, -2.511167, 1.318556, 62.771554, 0.009318, 0.008872, 0.043451, 0.053108, 0.038453, 0.013626, 1.000000
DJI_0066.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755504.925380, 3279270.022292, 41.490732, 755502.315676, 3279271.626738, 60.031000, 5.000000, 5.000000, 10.000000, -2.389710, 1.353765, 62.782872, 0.009524, 0.008937, 0.043378, 0.053482, 0.041329, 0.014313, 1.000000
DJI_0067.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755503.636622, 3279271.454521, 41.423276, 755501.006293, 3279273.088171, 60.031000, 5.000000, 5.000000, 10.000000, -2.528673, 1.530174, 62.357980, 0.009289, 0.008930, 0.043088, 0.053486, 0.040719, 0.014240, 1.000000
DJI_0068.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755502.104415, 3279272.819804, 41.707583, 755499.772667, 3279274.178516, 60.031000, 5.000000, 5.000000, 10.000000, -2.419077, 1.343535, 62.339690, 0.009394, 0.009057, 0.044444, 0.051792, 0.041992, 0.014198, 1.000000
DJI_0069.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755500.879548, 3279274.226790, 41.849356, 755498.681914, 3279275.497035, 60.131000, 5.000000, 5.000000, 10.000000, -2.019814, 1.156956, 62.880166, 0.009646, 0.009119, 0.045165, 0.051642, 0.041945, 0.013913, 1.000000
DJI_0070.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755499.493495, 3279275.538641, 42.178078, 755497.173694, 3279276.941615, 60.131000, 5.000000, 5.000000, 10.000000, -1.838538, 1.513334, 62.315638, 0.009551, 0.009296, 0.046729, 0.049121, 0.039658, 0.014199, 1.000000
DJI_0071.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755498.225099, 3279276.904675, 42.286640, 755495.675115, 3279278.435713, 60.231000, 5.000000, 5.000000, 10.000000, -2.221684, 1.554697, 61.940647, 0.009476, 0.009371, 0.047206, 0.048334, 0.038412, 0.013781, 1.000000
DJI_0072.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755495.359655, 3279279.974872, 42.119706, 755493.176379, 3279281.053203, 60.131000, 5.000000, 5.000000, 10.000000, -2.454457, 1.251403, 61.863154, 0.009590, 0.009499, 0.046311, 0.047127, 0.037653, 0.014434, 1.000000
DJI_0073.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755494.000617, 3279281.351465, 42.151260, 755491.952402, 3279282.547392, 60.131000, 5.000000, 5.000000, 10.000000, -2.409438, 1.621577, 60.721463, 0.009462, 0.009303, 0.046350, 0.047043, 0.037913, 0.013754, 1.000000
DJI_0074.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755492.553160, 3279282.766241, 42.038469, 755490.442711, 3279284.056643, 60.131000, 5.000000, 5.000000, 10.000000, -3.119668, 1.581634, 61.843657, 0.009224, 0.009399, 0.045633, 0.047461, 0.039021, 0.013866, 1.000000
